screen_id,usability,layout_quality,visual_complexity,screen_mean
52214,2.8,3.1,3.5,3.13
17476,2.5,2.8,3.1,2.8
1165,3.1,3.5,2.8,3.13
59041,2.8,3.1,3.5,3.13
2844,2.85,3.1,4.25,3.4
26390,3.2,3.5,2.8,3.17
24971,2.8,3.15,3.65,3.2
19321,3.15,3.8,4.25,3.73
58713,2.5,2.0,1.5,2.0
16870,2.5,2.8,3.75,3.02
54764,3.25,3.8,2.5,3.18
58988,2.8,3.15,3.6,3.18
68868,2.85,3.1,4.25,3.4
46124,3.25,3.5,2.75,3.17
15815,3.15,3.8,2.95,3.3
48987,2.8,3.1,4.2,3.37
38037,2.8,3.15,4.2,3.38
12105,3.25,3.5,3.75,3.5
1197,2.85,3.1,3.75,3.23
16286,3.25,3.5,3.75,3.5
24676,2.85,3.1,4.25,3.4
2560,3.15,3.8,2.9,3.28
43510,3.15,3.8,4.25,3.73
4972,2.5,2.8,3.2,2.83
11742,3.25,3.5,4.0,3.58
47138,2.85,3.15,3.9,3.3
2336,2.85,3.1,3.5,3.15
57382,3.15,3.8,4.25,3.73
52984,3.25,3.5,2.75,3.17
56432,2.8,3.15,3.6,3.18
46098,2.5,3.1,4.2,3.27
37888,2.8,3.1,3.5,3.13
24791,5.0,3.48,3.36,3.9467
39834,2.5,2.25,3.75,2.83
48913,2.85,3.1,4.25,3.4
28655,2.85,3.1,4.25,3.4
63417,2.8,3.15,4.2,3.38
67317,2.5,3.0,2.2,2.57
10418,2.5,3.0,3.75,3.08
60148,2.8,3.15,3.6,3.18
63171,2.5,2.0,1.5,2.0
20767,2.8,3.15,4.2,3.38
56231,2.5,3.0,3.75,3.08
3808,2.8,3.15,3.5,3.15
32799,2.8,3.1,3.5,3.13
28634,2.5,3.0,2.75,2.75
20505,2.8,3.15,3.9,3.28
24466,2.8,3.15,3.6,3.18
8102,2.5,3.1,3.8,3.13
60444,3.15,3.8,4.25,3.73
32555,2.85,3.1,4.25,3.4
16853,3.25,3.5,4.1,3.62
16226,3.15,3.8,3.5,3.48
35308,2.85,3.1,3.75,3.23
16480,3.25,3.5,2.75,3.17
3400,2.5,3.1,3.8,3.13
65930,3.25,3.5,3.75,3.5
33029,3.25,3.5,4.0,3.58
49832,2.8,3.15,3.9,3.28
27726,2.8,3.15,3.6,3.18
63252,2.5,3.1,3.8,3.13
12896,2.8,3.15,3.65,3.2
58264,2.5,3.1,3.75,3.12
40482,3.5,4.0,2.2,3.23
4555,2.85,2.5,3.75,3.03
18361,2.5,2.8,3.1,2.8
911,3.5,3.25,2.75,3.17
7079,2.8,3.15,4.2,3.38
35220,3.25,3.5,2.75,3.17
15280,3.5,3.8,2.75,3.35
46547,2.85,3.1,4.25,3.4
29617,2.8,3.15,3.6,3.18
64763,2.85,3.1,3.75,3.23
51510,2.5,2.25,4.0,2.92
50826,2.8,3.1,3.5,3.13
68408,2.8,3.15,4.2,3.38
66845,2.8,3.15,4.2,3.38
34176,3.25,3.5,3.75,3.5
48130,2.8,3.15,3.6,3.18
22954,2.8,3.15,2.5,2.82
56632,2.85,3.1,3.75,3.23
14665,2.85,3.1,4.25,3.4
13049,3.25,3.5,4.0,3.58
53758,2.5,2.8,2.2,2.5
25264,3.25,3.5,3.75,3.5
6107,2.8,3.15,3.6,3.18
29381,2.8,3.15,3.9,3.28
9905,3.25,3.5,2.75,3.17
15340,2.8,3.15,3.65,3.2
66436,2.5,3.0,3.75,3.08
25609,3.25,3.5,3.75,3.5
67140,3.25,3.5,2.75,3.17
16753,2.8,3.1,3.5,3.13
3532,2.8,3.15,3.65,3.2
28641,2.5,3.1,3.8,3.13
40118,3.25,3.5,4.0,3.58
51983,2.8,3.15,3.9,3.28
65057,2.5,3.0,3.5,3.0
34368,2.8,3.15,4.2,3.38
20968,2.5,3.0,3.75,3.08
34706,2.5,3.0,3.75,3.08
3375,2.5,3.0,4.25,3.25
24058,2.5,3.1,4.2,3.27
54358,2.8,3.1,2.5,2.8
27880,3.25,3.5,2.75,3.17
56461,2.5,3.0,3.75,3.08
71744,2.5,3.0,3.75,3.08
55214,2.5,2.8,3.5,2.93
52874,2.8,3.15,3.6,3.18
14790,3.25,3.5,2.75,3.17
50219,2.8,3.15,4.2,3.38
5194,3.15,3.8,4.25,3.73
21568,3.15,3.8,2.55,3.17
45392,2.8,3.15,4.2,3.38
58223,2.8,3.1,2.5,2.8
26385,2.8,3.1,4.2,3.37
21012,3.25,3.5,4.0,3.58
40664,2.5,2.8,4.2,3.17
3528,2.85,3.1,4.25,3.4
28107,3.5,3.8,2.75,3.35
70985,2.8,3.1,3.5,3.13
52267,2.8,3.15,3.9,3.28
55555,2.5,3.0,3.5,3.0
46858,2.5,2.0,1.5,2.0
24742,3.25,3.5,3.75,3.5
55294,3.15,3.8,4.25,3.73
31727,2.8,3.1,3.5,3.13
65628,3.25,3.5,3.75,3.5
60766,3.25,3.5,2.75,3.17
61284,3.25,3.5,4.0,3.58
13729,2.5,3.1,3.8,3.13
25333,2.5,3.1,2.8,2.8
64256,2.8,3.1,3.5,3.13
12124,2.8,3.15,4.2,3.38
63120,3.5,3.8,2.75,3.35
31053,2.5,2.0,1.5,2.0
36688,2.85,3.1,4.25,3.4
27926,2.8,3.1,3.5,3.13
14426,2.8,3.1,3.5,3.13
24148,3.25,3.5,4.0,3.58
70167,2.5,3.0,4.2,3.23
7224,2.8,3.1,4.2,3.37
47510,3.25,3.5,4.1,3.62
67764,2.5,2.8,3.1,2.8
5750,2.85,3.1,3.75,3.23
30999,2.8,3.15,3.6,3.18
24252,2.8,3.15,3.6,3.18
53347,3.15,3.8,3.5,3.48
43113,2.85,3.1,3.75,3.23
36338,2.5,3.0,3.75,3.08
6836,3.25,3.5,2.75,3.17
7027,2.85,3.1,3.75,3.23
52498,2.5,3.0,2.2,2.57
40447,2.8,3.15,3.5,3.15
19589,2.5,2.8,3.1,2.8
27748,3.5,3.8,2.75,3.35
19327,2.5,3.1,2.8,2.8
26498,2.5,2.8,3.75,3.02
59269,3.25,3.5,3.75,3.5
47149,3.25,3.5,2.75,3.17
4572,2.8,3.1,3.5,3.13
27614,3.15,3.8,4.25,3.73
59392,2.5,2.8,4.2,3.17
48628,2.8,3.1,3.5,3.13
38465,3.5,3.8,3.2,3.5
69226,2.8,3.1,3.5,3.13
48551,2.8,3.15,3.6,3.18
36583,3.25,3.5,4.0,3.58
34197,3.25,3.5,3.75,3.5
24725,2.85,3.1,3.75,3.23
19243,3.25,3.5,2.75,3.17
43780,3.25,3.5,2.75,3.17
42764,2.8,3.15,3.6,3.18
16102,2.5,3.1,3.8,3.13
59946,2.8,3.15,3.5,3.15
13128,2.5,2.8,2.2,2.5
66790,2.8,3.15,4.2,3.38
17370,3.25,3.5,4.1,3.62
20314,3.15,3.8,4.25,3.73
51437,3.25,3.5,3.75,3.5
20787,2.8,3.15,3.65,3.2
62285,3.25,3.5,2.75,3.17
54995,2.5,3.0,2.0,2.5
38051,5.0,3.45,3.22,3.89
49356,5.0,3.48,2.89,3.79
14255,2.8,3.15,3.5,3.15
35616,3.25,3.5,4.0,3.58
35410,2.5,2.0,3.75,2.75
49325,2.5,3.1,3.8,3.13
41043,2.8,2.5,4.2,3.17
45014,2.5,2.25,3.75,2.83
26807,2.5,2.8,3.1,2.8
8987,2.85,3.1,3.75,3.23
4662,3.25,3.8,4.1,3.72
66769,2.85,3.1,3.75,3.23
72188,5.0,3.52,3.04,3.8533
10766,3.25,3.5,4.15,3.63
5498,2.8,3.15,3.6,3.18
57676,3.25,3.5,4.0,3.58
17680,2.5,2.8,3.1,2.8
55067,2.8,3.15,4.2,3.38
68368,3.25,3.5,4.1,3.62
45595,2.85,3.1,3.75,3.23
59643,2.5,2.0,1.5,2.0
27871,3.25,3.5,2.75,3.17
60783,2.8,3.15,3.5,3.15
52325,3.25,3.5,4.1,3.62
32794,3.25,3.5,2.75,3.17
17494,2.8,3.15,4.2,3.38
29637,2.8,3.15,4.2,3.38
38915,2.8,3.15,4.2,3.38
20679,2.8,3.15,3.5,3.15
40137,2.8,3.1,4.2,3.37
10194,2.8,3.15,3.5,3.15
7890,3.25,3.8,2.9,3.32
5776,3.25,3.5,3.75,3.5
67727,3.25,3.5,2.75,3.17
57608,2.8,3.15,3.9,3.28
27653,2.8,3.1,2.5,2.8
9035,3.15,3.8,4.25,3.73
43196,2.5,3.1,2.2,2.6
60343,2.8,3.15,3.5,3.15
22064,2.5,3.0,2.2,2.57
43656,2.5,2.0,3.5,2.67
70129,3.25,3.5,2.75,3.17
17152,2.8,3.15,3.65,3.2
67394,2.8,3.1,3.5,3.13
51293,3.25,3.5,3.75,3.5
29946,2.5,3.0,2.0,2.5
65557,2.5,2.8,3.75,3.02
52187,2.85,3.1,4.25,3.4
43655,2.5,2.0,3.0,2.5
50209,2.5,2.8,2.2,2.5
23363,2.8,3.15,4.2,3.38
9801,2.5,3.0,3.75,3.08
3493,2.85,3.1,4.25,3.4
60380,2.8,3.15,3.6,3.18
20894,3.25,3.5,3.75,3.5
45743,2.5,2.0,1.5,2.0
7871,2.5,3.0,3.75,3.08
6146,3.15,3.8,3.5,3.48
70798,2.5,2.8,3.1,2.8
45126,3.15,3.8,4.25,3.73
70543,2.5,3.0,3.75,3.08
10033,2.85,3.1,4.25,3.4
49515,3.25,3.5,4.0,3.58
31714,2.5,2.0,1.5,2.0
42440,2.8,3.15,3.9,3.28
11286,3.15,3.8,4.25,3.73
17513,2.5,2.0,3.75,2.75
71230,2.5,2.25,4.0,2.92
34257,2.8,2.5,3.75,3.02
67979,3.25,3.5,4.0,3.58
64908,3.25,3.5,3.75,3.5
63230,2.8,3.15,3.6,3.18
30520,3.25,3.8,4.1,3.72
26053,2.8,3.15,4.2,3.38
13871,3.15,3.8,4.25,3.73
26139,2.5,2.8,3.1,2.8
67905,2.5,3.0,2.75,2.75
47521,2.8,3.15,4.2,3.38
7477,2.8,3.15,4.2,3.38
15278,3.25,3.5,2.75,3.17
15712,2.5,2.0,3.0,2.5
58401,2.8,3.15,4.2,3.38
42245,2.8,3.15,3.6,3.18
63879,2.85,3.1,3.75,3.23
14613,2.85,3.1,4.25,3.4
9418,2.8,3.15,3.5,3.15
60257,2.5,2.8,3.1,2.8
45295,3.15,3.85,4.2,3.73
60597,2.8,3.15,3.65,3.2
18417,3.25,3.5,3.75,3.5
18579,2.5,2.8,3.75,3.02
5366,2.5,3.0,3.75,3.08
41533,3.25,3.5,3.75,3.5
7470,2.85,3.1,3.75,3.23
46393,3.15,3.8,4.25,3.73
2114,2.5,2.25,3.75,2.83
27758,3.25,3.5,2.75,3.17
44929,2.5,2.8,4.2,3.17
67512,3.25,3.8,4.1,3.72
5003,2.8,3.15,4.2,3.38
38113,3.25,3.5,4.1,3.62
8539,2.85,3.1,3.75,3.23
24203,2.8,3.15,3.9,3.28
7122,2.5,2.8,3.7,3.0
45739,2.8,3.15,4.2,3.38
59915,3.25,3.5,4.1,3.62
58276,3.25,3.5,3.75,3.5
55664,2.85,3.1,4.25,3.4
23515,3.25,3.5,3.75,3.5
57165,2.5,2.8,3.7,3.0
30793,3.25,3.5,4.0,3.58
36558,3.5,4.0,3.25,3.58
54449,2.8,3.15,3.6,3.18
9972,3.25,3.5,3.75,3.5
34900,2.8,3.1,3.5,3.13
3913,3.15,3.8,4.25,3.73
69333,3.25,3.5,4.0,3.58
44296,2.8,3.15,3.6,3.18
39988,2.5,2.8,2.2,2.5
18105,2.5,3.0,3.75,3.08
26586,3.25,3.5,2.75,3.17
25060,2.8,3.1,3.5,3.13
14287,3.15,3.8,4.25,3.73
32645,3.25,3.5,2.75,3.17
11384,2.85,3.1,4.25,3.4
48854,3.25,3.5,4.0,3.58
46660,2.85,3.1,4.25,3.4
25402,2.5,3.0,3.75,3.08
48862,3.25,3.5,4.0,3.58
24779,3.25,3.5,4.1,3.62
10485,3.25,3.5,4.0,3.58
14764,2.5,2.8,2.2,2.5
56828,2.8,3.15,3.6,3.18
51682,2.8,3.15,3.65,3.2
13927,3.15,3.8,3.5,3.48
25326,2.8,3.1,3.5,3.13
145,2.8,3.15,4.2,3.38
69686,2.5,3.0,4.25,3.25
12070,3.25,3.5,4.0,3.58
667,2.5,3.1,3.75,3.12
32158,2.8,3.15,3.9,3.28
14754,3.25,3.5,3.75,3.5
44089,2.8,3.1,3.5,3.13
25968,3.15,3.8,2.95,3.3
28678,3.5,3.25,2.75,3.17
54284,2.8,2.5,3.75,3.02
4221,2.8,3.1,2.5,2.8
2436,3.2,3.5,2.8,3.17
45735,2.8,3.15,3.6,3.18
18838,3.15,3.8,4.25,3.73
57836,2.5,2.8,3.75,3.02
71673,2.85,3.1,3.5,3.15
68220,2.5,2.0,1.5,2.0
47750,3.25,3.5,3.75,3.5
48062,3.25,3.5,2.75,3.17
41356,3.25,3.5,3.75,3.5
26274,2.5,2.8,3.75,3.02
61826,2.5,3.0,2.75,2.75
41374,2.5,3.0,3.75,3.08
63277,2.5,2.8,3.75,3.02
37076,2.5,3.0,3.75,3.08
22840,2.85,3.1,3.75,3.23
16322,2.85,3.1,4.2,3.38
16497,3.25,3.5,4.0,3.58
53612,3.25,3.8,3.5,3.52
38652,2.5,3.0,3.75,3.08
33689,3.25,3.5,2.75,3.17
38158,2.8,3.1,3.5,3.13
37340,2.5,3.0,3.75,3.08
40981,3.25,3.8,3.5,3.52
66980,2.8,3.15,3.75,3.23
